[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	114
[Rejected]	4933
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.14640 	0.25990 	0.50605 	0.76670 	0.72260 	0.74100 	0.64785 	0.87330 	0.77380 	0.61930 	0.81205 	0.98480 	0.72795 	0.52130 	0.91905 	1.05150 	1.06565 	0.42255 	0.98120 	1.00105 	0.93785 	0.96955 	0.79985 	0.77130 	0.79090 	0.35460 	-0.01285 
0.14655 	0.25395 	0.52975 	0.78945 	0.74180 	0.74120 	0.67785 	0.88350 	0.76845 	0.65485 	0.83145 	0.98155 	0.73235 	0.55730 	0.95110 	1.07250 	1.08855 	0.46150 	1.01555 	1.03615 	0.96980 	0.98905 	0.83360 	0.80010 	0.82260 	0.39300 	0.02145 
0.15115 	0.25835 	0.55615 	0.81160 	0.75715 	0.73730 	0.70945 	0.89270 	0.75860 	0.68295 	0.85080 	0.97460 	0.73740 	0.59405 	0.98295 	1.09085 	1.10935 	0.50670 	1.04945 	1.07100 	1.00215 	1.00660 	0.87030 	0.83020 	0.85415 	0.43445 	0.06065 
0.16075 	0.27550 	0.58595 	0.83350 	0.76895 	0.72915 	0.74275 	0.90155 	0.74555 	0.70115 	0.87020 	0.96480 	0.74275 	0.63030 	1.01445 	1.10660 	1.12795 	0.55660 	1.08245 	1.10520 	1.03455 	1.02230 	0.90975 	0.86125 	0.88505 	0.47810 	0.10380 
0.17555 	0.30610 	0.61945 	0.85545 	0.77765 	0.71675 	0.77740 	0.91020 	0.73090 	0.70805 	0.88920 	0.95260 	0.74745 	0.66535 	1.04515 	1.11945 	1.14375 	0.60945 	1.11375 	1.13810 	1.06645 	1.03595 	0.95105 	0.89270 	0.91475 	0.52285 	0.14985 
0.19525 	0.34970 	0.65615 	0.87720 	0.78375 	0.70005 	0.81270 	0.91810 	0.71615 	0.70320 	0.90710 	0.93785 	0.75060 	0.69860 	1.07420 	1.12885 	1.15570 	0.66290 	1.14245 	1.16850 	1.09690 	1.04700 	0.99295 	0.92375 	0.94245 	0.56735 	0.19735 
0.21870 	0.40410 	0.69490 	0.89825 	0.78770 	0.67905 	0.84725 	0.92430 	0.70265 	0.68740 	0.92270 	0.92010 	0.75110 	0.72880 	1.10040 	1.13375 	1.16260 	0.71405 	1.16720 	1.19510 	1.12465 	1.05460 	1.03370 	0.95310 	0.96710 	0.61025 	0.24470 
0.24440 	0.46565 	0.73395 	0.91755 	0.78945 	0.65355 	0.87955 	0.92745 	0.69080 	0.66230 	0.93455 	0.89860 	0.74765 	0.75455 	1.12220 	1.13310 	1.16315 	0.75945 	1.18660 	1.21620 	1.14810 	1.05765 	1.07150 	0.97960 	0.98765 	0.65005 	0.29035 
0.27045 	0.53005 	0.77120 	0.93375 	0.78875 	0.62350 	0.90780 	0.92615 	0.68025 	0.62990 	0.94125 	0.87280 	0.73925 	0.77395 	1.13805 	1.12595 	1.15630 	0.79590 	1.19915 	1.23015 	1.16595 	1.05505 	1.10435 	1.00205 	1.00305 	0.68565 	0.33290 
0.29495 	0.59215 	0.80450 	0.94550 	0.78505 	0.58860 	0.93025 	0.91880 	0.66990 	0.59275 	0.94145 	0.84205 	0.72505 	0.78490 	1.14665 	1.11150 	1.14120 	0.81990 	1.20375 	1.23550 	1.17655 	1.04575 	1.13040 	1.01915 	1.01245 	0.71605 	0.37120 
