VISCPT......= Version 3.00				
id..........= -----				
operator....= -----				
doctor......= -----				
referral....= -----				
institution.= -----				
subject.....= -----				
name........= OutMan				
age.........= 0				
sex.........= 0				
hand........= 0				
medications.= -----				
class.......= -----				
state.......= -----				
label.......= -----				
date........= 05/12/17				
time........= 20:27:34				
eduction....= -----				
occupation..= -----				
programmer..= ChunHui_Sun				
Trial   Resp    Type    Correct     Latency				
-----   ----    ----    -------   -----------				
900	1	201	-1	800
901	1	7	0	800
902	1	202	-1	800
903	1	5	0	800
904	1	202	-1	800
905	1	3	0	800
906	1	202	-1	800
907	1	5	0	800
908	1	202	-1	800
909	1	7	1	800
910	1	201	-1	800
911	1	3	0	800
912	1	202	-1	800
913	1	7	1	800
914	1	201	-1	800
915	1	203	-1	800
916	1	3	0	800
917	1	202	-1	800
918	1	3	0	800
919	1	202	-1	800
920	1	5	1	800
921	1	201	-1	800
922	1	5	0	800
923	1	202	-1	800
924	1	5	0	800
925	1	202	-1	800
926	1	7	1	800
927	1	201	-1	800
928	1	7	1	800
929	1	201	-1	800
930	1	5	0	800
931	1	202	-1	800
932	1	3	0	800
933	1	202	-1	800
934	1	3	0	800
935	1	202	-1	800
936	1	5	1	800
937	1	201	-1	800
938	1	3	0	800
939	1	202	-1	800
940	1	5	1	800
941	1	201	-1	800
942	1	7	1	800
943	1	201	-1	800
944	1	7	1	800
945	1	201	-1	800
946	1	5	0	800
947	1	202	-1	800
948	1	3	0	800
949	1	202	-1	800
950	1	7	1	800
951	1	201	-1	800
952	1	5	1	800
953	1	201	-1	800
954	1	7	0	800
955	1	202	-1	800
956	1	3	0	800
957	1	202	-1	800
958	1	5	0	800
959	1	202	-1	800
960	1	3	0	800
961	1	202	-1	800
962	1	7	1	800
963	1	201	-1	800
964	1	3	0	800
965	1	202	-1	800
966	1	3	0	800
967	1	202	-1	800
968	1	7	1	800
969	1	201	-1	800
970	1	5	0	800
971	1	202	-1	800
972	1	3	0	800
973	1	202	-1	800
974	1	7	1	800
975	1	201	-1	800
976	1	5	0	800
977	1	202	-1	800
978	1	7	1	800
979	1	201	-1	800
980	1	5	0	800
981	1	202	-1	800
982	1	5	1	800
983	1	201	-1	800
984	1	5	0	800
985	1	202	-1	800
986	1	3	0	800
987	1	202	-1	800
988	1	7	1	800
989	1	201	-1	800
990	1	3	0	800
991	1	202	-1	800
992	1	3	0	800
993	1	202	-1	800
994	1	7	1	800
995	1	201	-1	800
996	1	7	1	800
997	1	201	-1	800
998	1	5	0	800
999	1	202	-1	800
1000	1	7	0	800
1001	1	202	-1	800
1002	1	7	1	800
1003	1	201	-1	800
