id,eventcode,col3,col4,col5,time
444,7,0,0,0.0000,1609307
445,201,0,0,0.0000,1610020
446,5,0,0,0.0000,1611590
447,201,0,0,0.0000,1612261
448,5,0,0,0.0000,1613865
449,201,0,0,0.0000,1614437
450,5,0,0,0.0000,1616415
451,202,0,0,0.0000,1616869
452,3,0,0,0.0000,1618749
453,202,0,0,0.0000,1619142
454,5,0,0,0.0000,1620982
455,201,0,0,0.0000,1621430
456,3,0,0,0.0000,1623391
457,201,0,0,0.0000,1623910
458,3,0,0,0.0000,1625774
459,201,0,0,0.0000,1626327
460,7,0,0,0.0000,1627999
461,201,0,0,0.0000,1628695
462,5,0,0,0.0000,1630474
463,202,0,0,0.0000,1631047
464,7,0,0,0.0000,1632783
465,201,0,0,0.0000,1633480
466,3,0,0,0.0000,1634991
467,202,0,0,0.0000,1635784
468,3,0,0,0.0000,1637299
469,201,0,0,0.0000,1637992
470,5,0,0,0.0000,1803671
471,201,0,0,0.0000,1804337
472,7,0,0,0.0000,1806079
473,201,0,0,0.0000,1806657
474,5,0,0,0.0000,1808429
475,201,0,0,0.0000,1809010
476,3,0,0,0.0000,1810946
477,202,0,0,0.0000,1811538
478,203,0,0,0.0000,1850184
479,3,0,0,0.0000,1864747
480,201,0,0,0.0000,1865418
481,7,0,0,0.0000,1867089
482,201,0,0,0.0000,1867754
483,3,0,0,0.0000,1869297
484,202,0,0,0.0000,1869883
485,7,0,0,0.0000,1871506
486,201,0,0,0.0000,1872059
487,5,0,0,0.0000,1873797
488,202,0,0,0.0000,1874395
489,3,0,0,0.0000,1876231
490,201,0,0,0.0000,1876876
491,5,0,0,0.0000,1878756
492,202,0,0,0.0000,1879388
493,3,0,0,0.0000,1881264
494,202,0,0,0.0000,1881804
495,5,0,0,0.0000,1883514
496,201,0,0,0.0000,1884157
497,3,0,0,0.0000,1885939
498,201,0,0,0.0000,1886717
499,5,0,0,0.0000,1888273
500,201,0,0,0.0000,1888973
501,3,0,0,0.0000,1890773
502,202,0,0,0.0000,1891406
503,5,0,0,0.0000,1893090
504,201,0,0,0.0000,1893630
505,3,0,0,0.0000,1895331
506,202,0,0,0.0000,1896063
507,3,0,0,0.0000,1897848
508,201,0,0,0.0000,1898447
509,5,0,0,0.0000,1900106
510,7,0,0,0.0000,1910182
511,202,0,0,0.0000,1910929
512,7,0,0,0.0000,1912448
513,201,0,0,0.0000,1913121
514,5,0,0,0.0000,1914790
515,201,0,0,0.0000,1915425
516,7,0,0,0.0000,1917257
517,201,0,0,0.0000,1917938
518,3,0,0,0.0000,1919624
519,201,0,0,0.0000,1920210
520,3,0,0,0.0000,1922007
521,202,0,0,0.0000,1922546
522,5,0,0,0.0000,1924540
523,201,0,0,0.0000,1925123
524,5,0,0,0.0000,1926966
525,201,0,0,0.0000,1927587
526,5,0,0,0.0000,1929449
527,201,0,0,0.0000,1930020
528,7,0,0,0.0000,1931799
529,201,0,0,0.0000,1932372
530,7,0,0,0.0000,1934016
531,201,0,0,0.0000,1934660
532,5,0,0,0.0000,1936399
533,202,0,0,0.0000,1937013
534,7,0,0,0.0000,1938841
535,201,0,0,0.0000,1939349
536,7,0,0,0.0000,1941308
537,201,0,0,0.0000,1941909
538,3,0,0,0.0000,1943541
539,201,0,0,0.0000,1944182
540,7,0,0,0.0000,1945908
541,202,0,0,0.0000,1946470
542,5,0,0,0.0000,1950500
543,201,0,0,0.0000,1951079
544,5,0,0,0.0000,1952850
545,202,0,0,0.0000,1953591
546,3,0,0,0.0000,1955391
547,201,0,0,0.0000,1956007
548,7,0,0,0.0000,1957616
549,201,0,0,0.0000,1958152
550,3,0,0,0.0000,1960033
551,202,0,0,0.0000,1960568
552,203,0,0,0.0000,2133826
553,3,0,0,0.0000,2138571
554,201,0,0,0.0000,2139186
555,7,0,0,0.0000,2140980
556,201,0,0,0.0000,2141571
557,3,0,0,0.0000,2143505
558,202,0,0,0.0000,2144067
559,7,0,0,0.0000,2146080
560,201,0,0,0.0000,2146532
561,5,0,0,0.0000,2148330
562,201,0,0,0.0000,2148900
563,5,0,0,0.0000,2150797
564,201,0,0,0.0000,2151156
565,3,0,0,0.0000,2153005
566,201,0,0,0.0000,2153669
567,5,0,0,0.0000,2155230
568,201,0,0,0.0000,2155845
569,7,0,0,0.0000,2157822
570,202,0,0,0.0000,2158629
571,3,0,0,0.0000,2160164
572,202,0,0,0.0000,2160742
573,3,0,0,0.0000,2162397
574,202,0,0,0.0000,2162998
575,7,0,0,0.0000,2164897
576,201,0,0,0.0000,2165494
577,7,0,0,0.0000,2167439
578,201,0,0,0.0000,2167975
579,5,0,0,0.0000,2170014
580,202,0,0,0.0000,2170503
581,5,0,0,0.0000,2172239
582,201,0,0,0.0000,2172919
583,5,0,0,0.0000,2174472
584,201,0,0,0.0000,2175208
585,7,0,0,0.0000,2176939
586,202,0,0,0.0000,2177720
587,5,0,0,0.0000,2179156
588,201,0,0,0.0000,2179816
589,7,0,0,0.0000,2181606
590,201,0,0,0.0000,2182201
591,7,0,0,0.0000,2184048
592,202,0,0,0.0000,2184713
593,7,0,0,0.0000,2186473
594,201,0,0,0.0000,2186937
595,5,0,0,0.0000,2188889
596,201,0,0,0.0000,2189290
597,3,0,0,0.0000,2191098
598,202,0,0,0.0000,2191594
599,5,0,0,0.0000,2193340
600,201,0,0,0.0000,2193898
601,5,0,0,0.0000,2195648
602,3,0,0,0.0000,2273050
603,201,0,0,0.0000,2273670
604,3,0,0,0.0000,2275417
605,201,0,0,0.0000,2276023
606,3,0,0,0.0000,2277942
607,202,0,0,0.0000,2278583
608,3,0,0,0.0000,2280284
609,201,0,0,0.0000,2281111
610,3,0,0,0.0000,2282667
611,201,0,0,0.0000,2283304
612,5,0,0,0.0000,2284934
