trial,respond,type,correct,latancy
683,1,202,-1,800
684,1,7,1,800
685,1,201,-1,800
686,1,5,0,800
687,1,202,-1,800
688,1,7,1,800
689,1,201,-1,800
690,1,7,1,800
691,1,201,-1,800
692,1,3,0,800
693,1,202,-1,800
694,1,5,0,800
695,1,202,-1,800
696,1,5,1,800
697,1,201,-1,800
698,1,5,1,800
699,1,201,-1,800
700,1,3,0,800
701,1,202,-1,800
702,1,5,1,800
703,1,201,-1,800
704,1,3,1,800
705,1,201,-1,800
706,1,3,1,800
707,1,201,-1,800
708,1,7,1,800
709,1,201,-1,800
710,1,7,0,800
711,1,202,-1,800
712,1,5,1,800
713,1,201,-1,800
714,1,5,1,800
715,1,201,-1,800
716,1,5,1,800
717,1,201,-1,800
718,1,7,0,800
719,1,202,-1,800
720,1,7,1,800
721,1,201,-1,800
722,1,3,0,800
723,1,202,-1,800
724,1,3,1,800
725,1,201,-1,800
726,1,7,0,800
727,1,202,-1,800
728,1,203,-1,800
729,1,3,0,800
730,1,202,-1,800
731,1,5,1,800
732,1,201,-1,800
733,1,7,1,800
734,1,201,-1,800
735,1,3,1,800
736,1,201,-1,800
737,1,3,0,800
738,1,202,-1,800
739,1,5,1,800
740,1,201,-1,800
741,1,5,1,800
742,1,201,-1,800
743,1,5,0,800
744,1,202,-1,800
745,1,5,0,800
746,1,202,-1,800
747,1,7,1,800
748,1,201,-1,800
749,1,7,1,800
750,1,201,-1,800
751,1,5,0,800
752,1,202,-1,800
753,1,5,1,800
754,1,201,-1,800
755,1,3,0,800
756,1,202,-1,800
757,1,7,1,800
758,1,201,-1,800
759,1,3,0,800
760,1,202,-1,800
761,1,7,0,800
762,1,202,-1,800
763,1,5,0,800
764,1,202,-1,800
765,1,5,1,800
766,1,201,-1,800
767,1,5,0,800
768,1,202,-1,800
769,1,5,1,800
770,1,201,-1,800
771,1,7,1,800
772,1,201,-1,800
773,1,3,0,800
774,1,202,-1,800
775,1,7,1,800
776,1,201,-1,800
777,1,3,0,800
778,1,202,-1,800
779,1,7,1,800
780,1,201,-1,800
781,1,3,0,800
782,1,202,-1,800
783,1,7,1,800
784,1,201,-1,800
785,1,7,0,800
786,1,202,-1,800
787,1,5,1,800
788,1,201,-1,800
789,1,7,1,800
790,1,201,-1,800
791,1,3,0,800
792,1,202,-1,800
793,1,3,1,800
794,1,201,-1,800
795,1,3,0,800
796,1,202,-1,800
797,1,3,1,800
798,1,201,-1,800
799,1,5,0,800
800,1,202,-1,800
801,1,5,1,800
802,1,201,-1,800
803,1,7,0,800
804,1,202,-1,800
805,1,3,1,800
