groupid,stimu,stimu_time,resp,resp_time,rt
463,3,2963319,202,2963964,645
464,5,2965669,201,2966300,631
465,7,2968202,201,2968781,579
466,5,2970627,201,2971149,522
467,3,2973161,202,2973726,565
468,3,2975386,202,2976062,676
469,5,2977828,201,2978398,570
470,7,2980061,201,2980558,497
471,3,2982603,202,2983263,660
472,7,2985203,201,2985759,556
473,5,2987520,201,2988064,544
474,3,2989953,202,2990432,479
475,7,2992195,201,2992688,493
476,5,2994553,201,2995073,520
477,5,2996953,202,2997473,520
478,7,2999428,201,2999889,461
479,7,3001645,201,3002290,645
480,3,3003995,201,3004626,631
481,3,3006353,202,3006802,449
482,3,3008845,201,3009411,566
483,7,3011079,201,3011747,668
484,5,3013404,201,3013987,583
485,3,3015712,202,3016212,500
486,5,3018095,201,3018532,437
487,7,3020546,201,3021093,547
488,3,3022829,202,3023317,488
