groupid,stimu,stimu_time,resp,resp_time,rt
444,5,1897541,202,1897932,391
445,5,1900132,201,1900477,345
446,7,1902374,201,1902749,375
447,7,1904699,201,1905085,386
448,5,1906907,201,1907262,355
449,3,1909241,201,1909694,453
450,7,1911641,201,1911998,357
451,7,1992376,201,1992842,466
452,7,1994793,201,1995195,402
453,5,1997002,201,1997467,465
454,3,1999393,202,1999659,266
455,5,2001993,202,2002412,419
456,3,2004518,201,2004988,470
457,3,2006927,202,2007340,413
458,7,2009510,201,2010205,695
459,5,2011802,201,2012269,467
460,7,2014402,201,2014877,475
461,3,2016827,201,2017246,419
462,3,2019336,201,2019758,422
463,3,2021894,202,2022207,313
464,5,2024127,201,2024671,544
465,5,2026602,201,2027071,469
466,7,2029086,202,2029632,546
467,7,2031578,201,2032064,486
468,3,2033861,201,2034256,395
469,3,2036453,201,2037009,556
470,3,2038878,202,2039425,547
471,7,2041411,201,2041985,574
472,7,2043886,201,2044418,532
473,5,2046486,202,2047186,700
474,7,2049053,202,2049571,518
475,7,2051320,201,2051779,459
476,5,2053570,201,2053971,401
477,5,2055920,201,2056276,356
478,5,2058428,201,2058820,392
479,5,2061012,201,2061348,336
480,3,2063578,201,2063973,395
481,7,2065845,202,2066229,384
482,7,2068162,201,2068501,339
483,7,2070420,201,2070774,354
484,3,2072662,201,2072950,288
485,3,2075179,202,2075734,555
486,7,2077454,202,2077943,489
487,5,2079995,201,2080311,316
488,5,2082296,202,2082631,335
489,5,2084704,202,2085048,344
490,7,2087254,202,2087608,354
491,5,2089762,202,2090121,359
492,3,2092154,202,2092489,335
493,3,2094646,202,2095033,387
494,5,2097063,202,2097546,483
495,3,2099388,202,2099786,398
496,5,2193049,201,2193624,575
497,3,2195365,201,2195752,387
498,3,2197699,201,2198248,549
499,5,2199965,201,2200425,460
500,7,2202357,201,2202729,372
501,7,2204891,201,2205257,366
502,5,2207316,201,2207690,374
503,7,2209549,201,2209898,349
504,5,2211824,202,2212491,667
505,7,2214191,201,2215019,828
506,3,2216566,202,2217147,581
507,3,2218883,201,2219420,537
508,5,2221449,202,2222156,707
509,7,2223699,202,2224188,489
510,5,2226233,201,2227085,852
511,3,2228750,202,2229405,655
512,5,2231058,202,2231629,571
513,7,2233591,201,2234238,647
514,7,2236116,201,2236590,474
515,3,2238541,201,2238894,353
516,3,2241000,201,2241391,391
517,7,2243467,201,2243983,516
518,5,2245900,201,2246464,564
